,TSLA,BND,SPY
2015-01-05,-0.04204102817052724,0.0029036965797846204,-0.018059511116517712
2015-01-06,0.005664237314159992,0.0028954785044672526,-0.009419231928557315
2015-01-07,-0.0015619306272327549,0.0006016296570321433,0.012461129090043599
2015-01-08,-0.0015643062581811584,-0.001563020397413073,0.017745289630374916
2015-01-09,-0.018801629106854012,0.0016859845321701705,-0.008013501421063607
2015-01-12,-0.021532914950603166,0.0013219524377039438,-0.007833444064146211
2015-01-13,0.010088497728839352,0.0009599284557142429,-0.00281253830993089
2015-01-14,-0.05659733676235856,0.0022790761137907456,-0.006037579243341251
2015-01-15,-0.004255528597720826,0.004427457785427746,-0.009160688592209199
2015-01-16,0.006254228739435819,-0.0029778767549024643,0.013114029094481339
2015-01-19,0.0,0.0,0.0
2015-01-20,-0.00590461088227523,-0.0010764852939194602,0.0021326976857742874
2015-01-21,0.024175518017267583,-0.0019130937565206008,0.005048216414178519
2015-01-22,0.02569055090301542,0.000239657661232906,0.014870966192059187
2015-01-23,-0.0016366947705445112,0.0032349785820533494,-0.00548277258752794
2015-01-26,0.02613147671721605,-0.0011940758274628926,0.002342056421461569
2015-01-27,-0.0027596300325537504,0.0005982199118077514,-0.013190855222839915
2015-01-28,-0.03209052877530916,0.003584490596959311,-0.012824190476035113
2015-01-29,0.02924214605280495,-0.001071773711819879,0.009243313799196962
2015-01-30,-0.007797333058199185,0.0054829329583607755,-0.012574698318406519
2015-02-02,0.0360511389604945,-0.001187651764186226,0.012384191292648117
2015-02-03,0.0351758385028933,-0.003092297565068236,0.014460888341743194
2015-02-04,0.0008701251992371262,0.00035788163908678783,-0.0038079771245080885
2015-02-05,0.011164535201252157,-0.002146397349106044,0.010095539918638208
2015-02-06,-0.016426056915829212,-0.006453790153797545,-0.0027655461904695366
2015-02-09,0.0005520394593698796,-0.00036097736297735494,-0.004475745850367585
2015-02-10,-0.005471765552931385,-0.0018046607286739125,0.010653520380559778
2015-02-11,-0.016135698387415576,0.0,0.0005800158420381507
2015-02-12,-0.04661658846022321,0.0004823055486684602,0.00961657230149049
2015-02-13,0.004386864226918918,-0.00229000391598011,0.00411655938873956
2015-02-16,0.0,0.0,0.0
2015-02-17,0.0028462803614237586,-0.003985381522404463,0.0015729874314291958
