,LSTM_Forecast
2025-12-19,2.9116366
2025-12-22,2.8601778
2025-12-23,2.8150408
2025-12-24,2.7881317
2025-12-25,2.7826936
2025-12-26,2.7968638
2025-12-29,2.8477066
2025-12-30,2.9568043
2025-12-31,3.11023
2026-01-01,3.2867277
2026-01-02,3.458779
2026-01-05,3.6331544
2026-01-06,3.762891
2026-01-07,3.8847322
2026-01-08,3.9970021
2026-01-09,4.0796375
2026-01-12,4.1089573
2026-01-13,4.0869393
2026-01-14,4.036474
2026-01-15,3.9916399
