,TSLA,BND,SPY
2015-01-02,14.620667457580566,60.38597869873047,170.589599609375
2015-01-05,14.005999565124512,60.56132125854492,167.5088348388672
2015-01-06,14.085332870483398,60.73667526245117,165.9310302734375
2015-01-07,14.063332557678223,60.773216247558594,167.99871826171875
2015-01-08,14.041333198547363,60.678226470947266,170.9799041748047
2015-01-09,13.77733325958252,60.7805290222168,169.60975646972656
2015-01-12,13.480667114257812,60.860877990722656,168.2811279296875
2015-01-13,13.616666793823242,60.9193000793457,167.80783081054688
2015-01-14,12.845999717712402,61.05813980102539,166.794677734375
2015-01-15,12.791333198547363,61.32847213745117,165.2667236328125
2015-01-16,12.871333122253418,61.145843505859375,167.4340362548828
2015-01-19,12.871333122253418,61.145843505859375,167.4340362548828
2015-01-20,12.795332908630371,61.080020904541016,167.79112243652344
2015-01-21,13.104666709899902,60.96316909790039,168.63816833496094
2015-01-22,13.441332817077637,60.977779388427734,171.14598083496094
2015-01-23,13.419333457946777,61.17504119873047,170.20762634277344
2015-01-26,13.770000457763672,61.101993560791016,170.60626220703125
2015-01-27,13.732000350952148,61.138545989990234,168.35581970214844
2015-01-28,13.291333198547363,61.357696533203125,166.19679260253906
2015-01-29,13.680000305175781,61.291934967041016,167.73300170898438
2015-01-30,13.573332786560059,61.627994537353516,165.62380981445312
2015-02-02,14.062666893005371,61.55480194091797,167.6749267578125
2015-02-03,14.557332992553711,61.36445617675781,170.0996551513672
2015-02-04,14.569999694824219,61.386417388916016,169.45191955566406
2015-02-05,14.732666969299316,61.25465774536133,171.16262817382812
2015-02-06,14.490667343139648,60.85933303833008,170.68927001953125
2015-02-09,14.498666763305664,60.837364196777344,169.92530822753906
2015-02-10,14.419333457946777,60.72757339477539,171.73561096191406
2015-02-11,14.186667442321777,60.72757339477539,171.83522033691406
2015-02-12,13.525333404541016,60.75686264038086,173.48768615722656
2015-02-13,13.584667205810547,60.61772918701172,174.2018585205078
2015-02-16,13.584667205810547,60.61772918701172,174.2018585205078
2015-02-17,13.623332977294922,60.37614440917969,174.4758758544922
2015-02-18,13.630666732788086,60.544525146484375,174.49256896972656
2015-02-19,14.11400032043457,60.49329376220703,174.367919921875
2015-02-20,14.473999977111816,60.50792694091797,175.4142608642578
2015-02-23,13.822667121887207,60.63240432739258,175.3893280029297
2015-02-24,13.607333183288574,60.88129806518555,175.88760375976562
2015-02-25,13.583999633789062,60.93986129760742,175.73809814453125
2015-02-26,13.812666893005371,60.77147674560547,175.530517578125
2015-02-27,13.555999755859375,60.82274627685547,174.9326171875
2015-03-02,13.155332565307617,60.62614059448242,176.03700256347656
2015-03-03,13.303999900817871,60.552791595458984,175.3146209716797
2015-03-04,13.496000289916992,60.552791595458984,174.57554626464844
2015-03-05,13.375332832336426,60.5894660949707,174.7665557861328
2015-03-06,12.925333023071289,60.237335205078125,172.30857849121094
2015-03-09,12.725333213806152,60.31074523925781,173.02273559570312
2015-03-10,12.687999725341797,60.54540252685547,170.2158966064453
2015-03-11,12.916000366210938,60.61146926879883,169.81732177734375
2015-03-12,12.73799991607666,60.655487060546875,171.97642517089844
2015-03-13,12.578666687011719,60.59677505493164,170.92178344726562
2015-03-16,13.046667098999023,60.71415710449219,173.2053680419922
2015-03-17,12.982000350952148,60.76553726196289,172.69053649902344
2015-03-18,13.380666732788086,61.13960647583008,174.7665557861328
2015-03-19,13.043333053588867,60.956233978271484,173.9693603515625
2015-03-20,13.20533275604248,61.11757278442383,175.50498962402344
2015-03-23,13.308667182922363,61.146934509277344,175.1629638671875
