,Total Return,Annualized Return,Annualized Volatility,Sharpe Ratio,Max Drawdown
Static Strategy,0.16517189638755414,0.1527505855762863,0.137935822317759,1.1074033054618613,-0.13717396617622402
Rebalanced (No TC),0.16517189638755414,0.1527505855762863,0.137935822317759,1.1074033054618613,-0.13717396617622402
Rebalanced (With TC),0.15009433011472195,0.13887326173688597,0.13815090294224638,1.0052287663652952,-0.13890682416457178
Benchmark 60/40,0.1504066991805173,0.13916089364902628,0.11533045527892297,1.2066274542354851,-0.11288794524264312
