Date,TSLA,BND,SPY
2015-01-02,14.620667457580566,60.38594055175781,170.58961486816406
2015-01-05,14.005999565124512,60.56129455566406,167.50880432128906
2015-01-06,14.085332870483398,60.73665237426758,165.9311065673828
2015-01-07,14.063332557678223,60.77322769165039,167.9988250732422
2015-01-08,14.041333198547363,60.678245544433594,170.97987365722656
2015-01-09,13.77733325958252,60.780513763427734,169.60971069335938
2015-01-12,13.480667114257812,60.86086654663086,168.2810821533203
2015-01-13,13.616666793823242,60.919315338134766,167.80780029296875
2015-01-14,12.845999717712402,61.05818176269531,166.794677734375
2015-01-15,12.791333198547363,61.32848358154297,165.26681518554688
2015-01-16,12.871333122253418,61.145809173583984,167.43406677246094
2015-01-20,12.795332908630371,61.08005142211914,167.79119873046875
2015-01-21,13.104666709899902,60.9631233215332,168.63819885253906
2015-01-22,13.441332817077637,60.97779846191406,171.14599609375
2015-01-23,13.419333457946777,61.175048828125,170.20762634277344
2015-01-26,13.770000457763672,61.10198211669922,170.6062469482422
2015-01-27,13.732000350952148,61.138511657714844,168.35581970214844
2015-01-28,13.291333198547363,61.35771560668945,166.19683837890625
2015-01-29,13.680000305175781,61.291954040527344,167.73304748535156
2015-01-30,13.573332786560059,61.62802505493164,165.6238250732422
2015-02-02,14.062666893005371,61.55480194091797,167.67489624023438
2015-02-03,14.557332992553711,61.364479064941406,170.09962463378906
2015-02-04,14.569999694824219,61.38642501831055,169.45199584960938
2015-02-05,14.732666969299316,61.25468444824219,171.16256713867188
2015-02-06,14.490667343139648,60.85932159423828,170.68922424316406
2015-02-09,14.498666763305664,60.83738708496094,169.9252471923828
2015-02-10,14.419333457946777,60.727516174316406,171.7355499267578
2015-02-11,14.186667442321777,60.727516174316406,171.8352508544922
2015-02-12,13.525333404541016,60.75681686401367,173.4877166748047
2015-02-13,13.584667205810547,60.61776351928711,174.20184326171875
2015-02-17,13.623332977294922,60.37614822387695,174.4759063720703
2015-02-18,13.630666732788086,60.544532775878906,174.49252319335938
2015-02-19,14.11400032043457,60.49325942993164,174.3679656982422
2015-02-20,14.473999977111816,60.507930755615234,175.41427612304688
2015-02-23,13.822667121887207,60.63236999511719,175.38929748535156
2015-02-24,13.607333183288574,60.881309509277344,175.88754272460938
2015-02-25,13.583999633789062,60.93987274169922,175.73817443847656
2015-02-26,13.812666893005371,60.77146911621094,175.53050231933594
2015-02-27,13.555999755859375,60.82269287109375,174.93263244628906
2015-03-02,13.155332565307617,60.62615203857422,176.03704833984375
2015-03-03,13.303999900817871,60.55278015136719,175.31459045410156
2015-03-04,13.496000289916992,60.55278015136719,174.5755615234375
2015-03-05,13.375332832336426,60.589420318603516,174.76657104492188
2015-03-06,12.925333023071289,60.23737335205078,172.30850219726562
2015-03-09,12.725333213806152,60.310707092285156,173.02268981933594
2015-03-10,12.687999725341797,60.54541778564453,170.21588134765625
2015-03-11,12.916000366210938,60.61143493652344,169.81735229492188
2015-03-12,12.73799991607666,60.65550994873047,171.9763946533203
2015-03-13,12.578666687011719,60.596832275390625,170.9217529296875
2015-03-16,13.046667098999023,60.71418380737305,173.2053985595703
2015-03-17,12.982000350952148,60.765499114990234,172.6905059814453
2015-03-18,13.380666732788086,61.13958740234375,174.76657104492188
2015-03-19,13.043333053588867,60.95625686645508,173.9693603515625
2015-03-20,13.20533275604248,61.11762237548828,175.5049591064453
2015-03-23,13.308667182922363,61.146949768066406,175.16297912597656
2015-03-24,13.447999954223633,61.249629974365234,174.17868041992188
2015-03-25,12.953332901000977,61.15431213378906,171.6263427734375
2015-03-26,12.694000244140625,60.95625686645508,171.21763610839844
2015-03-27,12.333333015441895,61.01493453979492,171.6096649169922
2015-03-30,12.704667091369629,61.08823776245117,173.7032012939453
2015-03-31,12.584667205810547,61.15431213378906,172.18521118164062
2015-04-01,12.505999565124512,61.39765548706055,171.57632446289062
2015-04-02,12.733332633972168,61.3167839050293,172.19358825683594
2015-04-06,13.539999961853027,61.36822509765625,173.35293579101562
2015-04-07,13.550000190734863,61.405006408691406,172.89419555664062
2015-04-08,13.844667434692383,61.360843658447266,173.4780731201172
2015-04-09,14.005999565124512,61.22856903076172,174.24551391601562
2015-04-10,14.0600004196167,61.19915008544922,175.19630432128906
2015-04-13,13.985333442687988,61.21384048461914,174.40391540527344
2015-04-14,13.830666542053223,61.324134826660156,174.73757934570312
2015-04-15,13.85533332824707,61.38294982910156,175.5216522216797
2015-04-16,13.779999732971191,61.36822509765625,175.47161865234375
2015-04-17,13.78600025177002,61.47115707397461,173.45309448242188
2015-04-20,13.684666633605957,61.405006408691406,175.037841796875
2015-04-21,13.96066665649414,61.33143997192383,174.829345703125
2015-04-22,14.629332542419434,61.10355758666992,175.6884765625
2015-04-23,14.573332786560059,61.22119140625,176.13055419921875
2015-04-24,14.562000274658203,61.3167839050293,176.53924560546875
2015-04-27,15.436667442321777,61.27262878417969,175.8052215576172
2015-04-28,15.36533260345459,61.08151626586914,176.3641357421875
2015-04-29,15.49666690826416,60.89030075073242,175.63841247558594
2015-04-30,15.069999694824219,60.956520080566406,173.87847900390625
2015-05-01,15.0686674118042,60.771644592285156,175.76353454589844
2015-05-04,15.36733341217041,60.68320083618164,176.26402282714844
2015-05-05,15.529999732971191,60.587440490722656,174.24551391601562
2015-05-06,15.362000465393066,60.418006896972656,173.5281524658203
2015-05-07,15.786666870117188,60.54326629638672,174.220458984375
2015-05-08,15.77400016784668,60.70532989501953,176.51422119140625
2015-05-11,15.965999603271484,60.388572692871094,175.67181396484375
2015-05-12,16.31599998474121,60.3149299621582,175.1462860107422
2015-05-13,16.211999893188477,60.285430908203125,175.17962646484375
2015-05-14,16.273332595825195,60.403289794921875,177.00634765625
2015-05-15,16.589332580566406,60.64638900756836,177.19818115234375
2015-05-18,16.583332061767578,60.42538070678711,177.7487335205078
2015-05-19,16.47599983215332,60.292781829833984,177.69029235839844
2015-05-20,16.290000915527344,60.292781829833984,177.56517028808594
2015-05-21,16.374666213989258,60.48431396484375,178.0823516845703
2015-05-22,16.51533317565918,60.447486877441406,177.65692138671875
2015-05-26,16.497333526611328,60.5948371887207,175.746826171875
2015-05-27,16.495332717895508,60.6242790222168,177.41505432128906
2015-05-28,16.76333236694336,60.63165283203125,177.2148895263672
2015-05-29,16.719999313354492,60.65373229980469,176.11386108398438
2015-06-01,16.6299991607666,60.45151901245117,176.4725341796875
2015-06-02,16.55666732788086,60.28172302246094,176.29737854003906
2015-06-03,16.599332809448242,60.016029357910156,176.76446533203125
2015-06-04,16.39466667175293,60.16367721557617,175.2714080810547
2015-06-05,16.609333038330078,59.927425384521484,174.97109985351562
2015-06-08,17.086000442504883,60.001251220703125,173.8950958251953
2015-06-09,17.066667556762695,59.8240966796875,173.87013244628906
2015-06-10,16.713333129882812,59.698612213134766,175.9553680419922
2015-06-11,16.76066780090332,59.979122161865234,176.52261352539062
