,Annual Volatility,Annual Return,Sharpe Ratio,VaR 5%
TSLA,0.5768200120908261,0.4746130733531573,0.7881367910681536,-0.05252780932805147
BND,0.05355995239421004,0.020292188220829704,0.0054553487777425705,-0.004796267242165653
SPY,0.17764515791574656,0.14304592338142794,0.6926500267448105,-0.016716305285061572
