,TSLA,BND,SPY
2025-01-02,-0.013104302568252346,-8.107542101176701e-05,0.0007853346723700749
2025-01-03,-0.010626053580227723,0.00021137632260970207,-0.00042981506875738873
2025-01-06,-0.010172266610987468,0.0001701666437565752,0.001045008533015812
2025-01-07,-0.009860817713687298,-7.235129426752529e-05,-0.00047274603447033936
2025-01-08,-0.009657886816715866,-0.00016605147898662853,0.00089699837216628
2025-01-09,-0.009459808855407092,-3.072347237786932e-05,-0.0001801520039640403
2025-01-10,-0.009275645612972672,0.0001099032447866577,0.0005152258761564887
2025-01-13,-0.009123215243373117,7.983173589232173e-05,0.00023041349761787622
2025-01-14,-0.008957305109697944,-4.208066160038548e-05,0.0001290026858888904
2025-01-15,-0.008710964551070455,-8.209415857907132e-05,0.0005482091033475189
2025-01-16,-0.008493189362524856,-1.0411117076336573e-05,-9.208687937733995e-05
2025-01-17,-0.008283405712614988,5.6788797583751105e-05,0.0006593477400749226
2025-01-20,-0.008099925109017692,3.7116235437339995e-05,-9.604901686832701e-05
2025-01-21,-0.00783789853694028,-2.3875320318111903e-05,0.0005706566165737392
2025-01-22,-0.007615796414064513,-4.038800895578287e-05,6.052262076328141e-05
2025-01-23,-0.007444511336187953,-2.720147001089579e-06,0.00037438413251655867
2025-01-24,-0.0071564568908096815,2.9173563341533537e-05,0.00026624204161707077
2025-01-27,-0.006968754193322768,1.707839185116633e-05,0.0001849734957450888
2025-01-28,-0.006819410627498801,-1.3290086724793149e-05,0.0004181362213102613
2025-01-29,-0.006635041283208243,-1.9770258003370955e-05,8.313604796961194e-05
2025-01-30,-0.006233344083154679,-1.1818750944581069e-07,0.00046429944924275546
2025-01-31,-0.005965525946195593,1.4905033096646036e-05,8.971938523649747e-05
2025-02-03,-0.005654966560066477,7.763099864277478e-06,0.0004128784473327318
2025-02-04,-0.005443044729832036,-7.285730047712491e-06,0.00017270394268664724
2025-02-05,-0.005324146917205619,-9.62750052357908e-06,0.00031242297316613765
2025-02-06,-0.0050955865360375885,5.5850787372691e-07,0.000275343440787168
2025-02-07,-0.004841919007352868,7.575383262459212e-06,0.00021985052769268876
2025-02-10,-0.004539949986702929,3.4773299768531274e-06,0.00034753161465772564
2025-02-11,-0.004269794588315223,-3.944036994663058e-06,0.00017336237770915197
2025-02-12,-0.004006635140110015,-4.662819245382366e-06,0.00036587823126477126
2025-02-13,-0.003890689458423413,5.849309605565622e-07,0.0001808078396543511
2025-02-14,-0.0036788166844122783,3.8307975824825036e-06,0.00033675648309339223
2025-02-17,-0.003479284504799063,1.5294754869277227e-06,0.00022440929071110283
2025-02-18,-0.003287576202168352,-2.112362577855187e-06,0.0002855415196341138
2025-02-19,-0.0031030403257862327,-2.24531198855793e-06,0.00027538840010565835
2025-02-20,-0.0029267200895647383,4.430262643406735e-07,0.00024043928131178838
2025-02-21,-0.0027576326305155385,1.9277360736591476e-06,0.0003094658169613407
2025-02-24,-0.0025960194607222986,6.571204960170718e-07,0.00021942095722238264
2025-02-25,-0.002441691857014261,-1.1209298955705549e-06,0.00031624586742484695
2025-02-26,-0.0022946852869659695,-1.0745272223111613e-06,0.00022513116511690967
2025-02-27,-0.0021544813983370714,2.9530402301247705e-07,0.0003000298305191329
2025-02-28,-0.002021207770322331,9.654256030167119e-07,0.00024784711305603224
2025-03-03,-0.0018949223067955545,2.7350467979303517e-07,0.00027399775962999584
