,TSLA,BND,SPY
2015-01-05,-0.04204102817052724,0.0029038879299387865,-0.01805977784319357
2015-01-06,0.005664237314159992,0.0028955427701820025,-0.009418595997379042
2015-01-07,-0.0015619306272327549,0.0006021951482841903,0.012461307277666478
2015-01-08,-0.0015643062581811584,-0.001562894564341999,0.01774446090729942
2015-01-09,-0.018801629106854012,0.0016854181935641588,-0.008013592094552768
2015-01-12,-0.021532914950603166,0.001322015531423082,-0.007833446178333037
2015-01-13,0.010088497728839352,0.0009603673891025455,-0.0028124484005894734
2015-01-14,-0.05659733676235856,0.0022795138748648025,-0.006037398481030021
2015-01-15,-0.004255528597720826,0.004426954931252114,-0.009160139697390601
2015-01-16,0.006254228739435819,-0.0029786226120542825,0.01311365251687624
2015-01-19,0.0,0.0,0.0
2015-01-20,-0.00590461088227523,-0.0010754253211069376,0.0021329706964183792
2015-01-21,0.024175518017267583,-0.0019143418818995395,0.005047941301324688
2015-01-22,0.02569055090301542,0.00024072159661936432,0.014870873018537178
2015-01-23,-0.0016366947705445112,0.0032347898938027697,-0.005482861255267424
2015-01-26,0.02613147671721605,-0.0011943874639326335,0.002341966773368842
2015-01-27,-0.0027596300325537504,0.0005978454339805594,-0.013190766963981582
2015-01-28,-0.03209052877530916,0.0035853661306286533,-0.012823918573541482
2015-01-29,0.02924214605280495,-0.0010717733786513861,0.009243311253267938
2015-01-30,-0.007797333058199185,0.005483117966545548,-0.0125748768279762
2015-02-02,0.0360511389604945,-0.0011881463660146085,0.01238391376412884
2015-02-03,0.0351758385028933,-0.003091925730818512,0.014460890973689189
2015-02-04,0.0008701251992371262,0.00035763284726852973,-0.0038073498726054478
2015-02-05,0.011164535201252157,-0.002146086370546363,0.010094724942517841
2015-02-06,-0.016426056915829212,-0.006454410100471097,-0.0027654580287074237
2015-02-09,0.0005520394593698796,-0.0003604133056820391,-0.004475836445849035
2015-02-10,-0.005471765552931385,-0.0018059768163792844,0.010653524207179466
2015-02-11,-0.016135698387415576,0.0,0.0005805491511623462
2015-02-12,-0.04661658846022321,0.0004824944529784325,0.009616570593607543
2015-02-13,0.004386864226918918,-0.0022886871285208166,0.0041162948051973736
2015-02-16,0.0,0.0,0.0
2015-02-17,0.0028462803614237586,-0.003985882708016475,0.0015732503469541026
2015-02-18,0.0005383231478952588,0.0027889250466521798,9.523848670323076e-05
2015-02-19,0.035459277020091884,-0.0008468699583010775,-0.0007138271189944811
2015-02-20,0.025506564298148016,0.000242528272105913,0.006000588586411615
2015-02-23,-0.04500019733692018,0.0020565773436302948,-0.0001423979749389792
2015-02-24,-0.015578320500655551,0.004105719670535857,0.0028407961397953763
2015-02-25,-0.001714777553045277,0.0009619246513241642,-0.0008492260669459295
2015-02-26,0.016833573717678796,-0.0027634390738241477,-0.0011817131923907986
2015-02-27,-0.0185820116516362,0.0008428915020115557,-0.003406073959494438
2015-03-02,-0.02955644716492234,-0.003231373410843119,0.006313378345196963
2015-03-03,0.011300918070464405,-0.0012102349355826991,-0.004104010448683915
2015-03-04,0.014431779204036044,0.0,-0.004215444526036394
2015-03-05,-0.008940979178158281,0.0006050947148048547,0.001094136658175593
2015-03-06,-0.03364400833280279,-0.005810370270940557,-0.014064868544136133
2015-03-09,-0.015473474370690798,0.0012174126485526848,0.004144819396391108
2015-03-10,-0.0029337926038629503,0.003891691951152687,-0.016222198803003574
2015-03-11,0.017969786081706296,0.0010903740248788818,-0.002341315331913174
2015-03-12,-0.013781390917263936,0.000727173218274535,0.0127139089687891
2015-03-13,-0.012508496633278132,-0.0009673923010364849,-0.006132479551968828
2015-03-16,0.037205883869277256,0.0019365951581280516,0.013360766495428056
2015-03-17,-0.00495657224609003,0.0008451947205614374,-0.0029727282313773973
2015-03-18,0.030709164308927006,0.006156261246955452,0.01202188303101992
2015-03-19,-0.025210528438961433,-0.002998556969025956,-0.004561574267852753
2015-03-20,0.012420115455768377,0.002647234547008548,0.008826834517179583
2015-03-23,0.007825204316233458,0.00047985166042541216,-0.0019485488171382404
2015-03-24,0.010469325694766773,0.0016792367679547837,-0.0056193306997067705
2015-03-25,-0.036783689389238594,-0.0015562190435446377,-0.014653559438681185
2015-03-26,-0.020020535165919506,-0.003238614914034099,-0.002381374901046507
2015-03-27,-0.028412417028683246,0.0009626193660217108,0.00228965203295739
2015-03-30,0.030108169094502424,0.0012013980381875289,0.012199408337320472
2015-03-31,-0.009445338842494988,0.0010816218270173206,-0.008738987543101762
2015-04-01,-0.0062510704017435526,0.003979169166993701,-0.0035362312162087184
2015-04-02,0.018177920738268627,-0.0013171770385971282,0.0035976047154384627
2015-04-03,0.0,0.0,0.0
2015-04-06,0.06335084074758979,0.0008389414667708817,0.006732814769214723
2015-04-07,0.0007385693434276419,0.0005993543234568133,-0.0026462790046315465
